what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530391954549
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530391955743
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1530391963197
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1530391965136
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.add.block.comment",1530391967863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530391971877
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530391976018
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530391978021
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530391983733
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530391986006
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530391987628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530391988607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392003210
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392004976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392015917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392020698
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392020872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392021036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392023991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1530392024017
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530392024781
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1530392029634
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392031060
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530392032637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392032982
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392042116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392055763
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392056115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392068950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530392079237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392081358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392240415
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392243539
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392251588
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530392258227
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392260078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392262475
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392268216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392280321
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392284044
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1530392286351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392286791
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530392288649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392292730
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1530392292752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1530392292752
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530392295010
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392301972
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530392303324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530392304207
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392305958
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392310231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392313778
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1530392313853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392314271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392342333
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530392346319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1530392356837
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530392366855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392370509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392383097
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392384790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392388134
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1530392388771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392388823
error,log,,,"Errors occurred during the build.",1530392388998
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392393701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392417564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392419980
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1530392420024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392420279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392738025
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530392740322
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392746545
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530392748194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392750091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392774298
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392813690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392822448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392828076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1530392828143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392831033
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392832602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1530392832615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392835555
